OBJECTID,UNIT,UNITCODE,REGION,SHAPEAREA,SHAPELEN
1,Santa Clara Unit,SCU,Northern,16492019015.4109,714283.331744135
2,Amador-Eldorado Unit,AEU,Northern,17712224210.5973,921183.037791828
3,Butte Unit,BTU,Northern,7764266552.83439,593190.716955082
4,Tuolumne-Calaveras Unit,TCU,Southern,18732879103.8583,843948.356325972
5,Sonoma-Lake Napa Unit,LNU,Northern,29041846445.193,1099881.7792009
6,Humboldt-Del Norte Unit,HUU,Northern,23432547278.097,1011397.03091341
7,Fresno-Kings Unit,FKU,Southern,29828330169.1724,1190694.48662044
8,Tehama-Glenn Unit,TGU,Northern,18454158414.9269,889858.802865535
9,San Bernardino Unit,BDU,Southern,131651698205.026,2362035.2884539
10,Kern County,KRN,Southern,31846476133.417,862005.052143049
11,Lassen-Modoc Unit,LMU,Northern,52921185216.3379,1179876.4801209
12,Los Angeles County,LAC,Southern,15539848512.0734,908459.675318679
13,Madera-Mariposa-Merced Unit,MMU,Southern,25716343187.8355,1038640.20412091
14,Mendocino Unit,MEU,Northern,16052664057.6503,908372.617624751
15,San Benito-Monterey Unit,BEU,Southern,18808299934.2149,819057.90794404
16,Nevada-Yuba-Placer Unit,NEU,Northern,20273161164.9116,817219.473662551
17,Orange County,ORC,Southern,3017039841.04864,293258.176611805
18,Riverside Unit,RRU,Southern,27423132179.4438,935910.453735546
19,San Diego Unit,SDU,Southern,32279185357.5047,934844.089252412
20,San Mateo-Santa Cruz Unit,CZU,Northern,4528037804.43702,577278.38079998
21,San Luis Obispo Unit,SLU,Southern,12974195493.0414,787688.504261051
22,Santa Barbara County,SBC,Southern,10535807744.3596,920084.070837753
23,Shasta-Trinity Unit,SHU,Northern,27992028701.8555,1063110.31518087
24,Siskiyou Unit,SKU,Northern,29493924416.602,959052.835892694
25,Tulare Unit,TUU,Southern,19311031190.5157,654530.7183537
26,Ventura County,VNC,Southern,7086495814.58534,476088.428334329
27,Marin County,MRN,Northern,2546994860.53762,323336.386403711
